"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1589","Check displaying of dashboard page","LMS system","2026-09-21","passed","2026-09-21","Dashboard","Dashboard","",""
"","1","test_logout","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","0","test_password_reset","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","1923","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2360","Create course","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1905","Registration with correct email,username and password","LMS system","2026-09-21","passed","2026-09-21","Registration","Authentication","",""
"","3172","User login with correct email and password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1533","Check displaying empty courses list","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","1658","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","2532","Edit course card","LMS system","2026-09-21","passed","2026-09-21","Courses","Courses","",""
"","0","test_forgot_password_link","tests.pytest","2026-09-21","passed","2026-09-21","TestUserInterface","test_markers","",""
"","1605","Navigation from login page to registration page","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","1959","User login with wrong email or password","LMS system","2026-09-21","passed","2026-09-21","Authorization","Authentication","",""
"","0","test_login","tests.pytest","2026-09-21","passed","2026-09-21","TestUserAuthentication","test_markers","",""
"","1","test_critical_login","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
"","0","test_regression_cases","tests.pytest","2026-09-21","passed","2026-09-21","","test_markers","",""
